z(ft) res(ohmm) z(m)
1155.580488638 3.9690194648844 352.20374539409
1163.4893121745 3.1781371112331 354.61423717601
1172.1890180646 5.2871567209698 357.26577813612
1180.0978416012 2.3872547575819 359.67626991807
1191.6974494547 2.9145096600161 363.21165786489
1204.8788220156 3.9690194648844 367.22914416812
1217.2693122228 3.7053920136673 371.00558129314
1229.1325475275 3.4417645624502 374.62131896602
1239.9412730274 2.9145096600161 377.91565773465
1251.2772534298 3.4417645624502 381.37069595544
1261.295096576 6.6052939770551 384.42398554587
1265.5131357955 6.6052939770551 385.70958116291
1271.3129397223 3.7053920136673 387.47727513633
1279.7490181612 2.9145096600161 390.04846637037
1290.2941162099 3.4417645624502 393.26245541295
1298.9938221001 1.8599998551477 395.91399637309
1306.9026456366 4.4962743673185 398.32448815501
1314.0205868194 2.3872547575819 400.49393075873
1321.1385280023 5.8144116234039 402.66337336248
1335.374410368 5.2871567209698 407.00225856995
1341.7014691972 5.8144116234039 408.93065199549
1346.9740182216 3.7053920136673 410.53764651679
1354.3555868556 3.7053920136673 412.78743884657
1363.8461750995 3.9690194648844 415.68002898491
1375.7094104042 4.2326469161014 419.29576665779
1382.0364692334 2.1236273063648 421.22416008333
1392.5815672821 5.0235292697527 424.43814912591
1403.1266653308 5.8144116234039 427.65213816849
1412.0899986722 5.5507841721868 430.38402885468
1420.7897045624 3.4417645624502 433.03556981481
1425.7986261355 2.9145096600161 434.56221461003
1428.9621555501 4.7599018185356 435.5264113228
1436.3437241842 2.3872547575819 437.77620365261
1444.2525477207 3.4417645624502 440.18669543453
1452.6886261596 4.2326469161014 442.75788666858
1459.27931244 5.2871567209698 444.76662982018
1462.7064693059 7.6598037819234 445.81117625904
1468.7699006839 4.7599018185356 447.65921995852
1473.2515673545 3.7053920136673 449.02516530158
1481.6876457935 3.1781371112331 451.59635653566
1489.3328418788 2.9145096600161 453.92649859153
1494.6053909031 6.6052939770551 455.5334931128
1499.6143124763 4.2326469161014 457.06013790805
1505.9413713055 3.4417645624502 458.98853133359
1514.9047046468 2.9145096600161 461.72042201975
1522.0226458297 2.650882208799 463.8898646235
1529.1405870126 8.1870586843577 466.05930722725
1547.3308811465 7.3961763307064 471.60343832566
1551.548920366 6.8689214282722 472.8890339427
1554.9760772318 10.296078294094 473.93358038153
1562.3576458659 4.4962743673185 476.18337271134
1575.2753909756 3.9690194648844 480.12050928851
1580.5479399999 6.3416665258381 481.72750380978
1583.1842145121 3.4417645624502 482.53100107044
1597.1564694266 2.9145096600161 486.78953655184
1606.9106851216 5.5507841721868 489.76247641621
1620.6193125849 5.0235292697527 493.94066217156
1634.5915674994 6.8689214282722 498.19919765297
1640.3913714262 10.032450842877 499.96689162639
1643.2912733896 13.986862611133 500.85073861311
1645.6639204505 8.7143135867918 501.57388614767
1650.1455871212 7.1325488794893 502.93983149076
1653.8363714382 3.4417645624502 504.06472765565
1668.072253804 3.4417645624502 508.40361286315
1676.5083322429 5.0235292697527 510.9748040972
1680.19911656 4.2326469161014 512.09970026212
1684.1535283282 2.9145096600161 513.30494615306
1694.6986263769 6.6052939770551 516.51893519564
1699.1802930476 8.1870586843577 517.88488053874
1705.2437244256 5.2871567209698 519.73292423822
1715.2615675718 2.1236273063648 522.78621382865
1725.0157832669 4.4962743673185 525.75915369305
1733.1882342546 2.9145096600161 528.24999520104
1745.3150970106 2.3872547575819 531.9460826
1747.9513715227 6.3416665258381 532.74957986062
1753.4875479983 3.4417645624502 534.43692410799
1760.8691166324 4.2326469161014 536.68671643779
1765.8780382055 2.650882208799 538.21336123301
1771.9414695835 6.6052939770551 540.06140493249
1779.85029312 3.7053920136673 542.47189671442
1790.9226460711 2.3872547575819 545.84658520911
1798.040587254 3.4417645624502 548.01602781286
1809.6401951075 2.3872547575819 551.55141575968
1819.6580382538 2.1236273063648 554.60470535014
1829.6758814 3.7053920136673 557.65799494057
1840.4846068999 5.2871567209698 560.9523337092
1850.5024500462 4.2326469161014 564.00562329966
1859.99303829 2.9145096600161 566.89821343798
1867.3746069241 3.7053920136673 569.14800576778
1874.5334738318 2.1352482393533 571.32992192374
1883.6274685987 4.3582247379318 574.10163626903
1893.7319072286 3.7519584201377 577.18131887492
1901.6133693599 3.3477808749416 579.5834713075
1913.3345181706 3.5498696475396 583.15590313033
1925.2577557539 4.1561359653338 586.78992860527
1935.5642831564 3.5498696475396 589.93120486327
